Вопрос,Ответ,Заплатка1,Заплатка2,Заплатка3
Почему?,По качану,Потому что,И по капусте,Хурму
2 + 1?,21,3,10,6
Ку?,КуКу,Ку,КуКуКу,КуКушка
Зачем?,За мясом,За хлебом,Затем,Очевидно!
Бах,Чпуньк,Тыщ,Бац,Бам
Иван ...,Калита,Четвёртый,Часовских,Калинин
Марк?,Марковка,Маркиз,Маркер,Смаркаться
Лев?,Прав,Лев,Большой кот,Слива
Запома?,Кар,Ё,Ло,Пин
Как сам?,Как джип нисан,Как банан,Нормально,Катамаран
Лучшый Майнкрафтер?,Аид,Теросер,Демастер,Лололошка
Лучшый смешарик?,Ленюк,Крош,Лосяш,Нюша
Лучшая Винкс?,Стелла,Блум,Лейла,Лорелей
Как называлась команда Аанга?,Команда Аватар,Отряд Бумеранг,Зловещая Четвёрка,Чайный долгоносик
Лучший советский мультфильм?,Жил-был пёс,Винни-Пух,Ёжик в тумане,Котёнок Гав
Лучшее у Миядзаки?,Ходячий замок,Унесённые призраками,Принцесса Мононоке,Мулан
Вес Пухли из Гравити Фолз?,7 кг,5 кг,6 кг,8 кг
Лучший Джедай?,Оби Ван Кеноби,Йода,Мейс Винду,Люк Скайуокер
Лучшая Чародейка?,Ирма,Вилл,Тарани,Корнелия